Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 28
Cel	Dystans	Sciezka	
0	2287		0<-28
1	1604		1<-28
2	2518		2<-27<-16<-28
3	2442		3<-27<-16<-28
4	6733		4<-27<-16<-28
5	2721		5<-28
6	250		6<-28
7	355		7<-28
8	3946		8<-7<-28
9	2660		9<-28
10	1437		10<-28
11	5292		11<-28
12	1923		12<-27<-16<-28
13	1981		13<-12<-27<-16<-28
14	4067		14<-28
15	2591		15<-29<-7<-28
16	1297		16<-28
17	6275		17<-29<-7<-28
18	4400		18<-28
19	4034		19<-28
20	439		20<-28
21	1517		21<-29<-7<-28
22	2035		22<-27<-16<-28
23	4696		23<-28
24	4069		24<-28
25	7500		25<-24<-28
26	7970		26<-28
27	1492		27<-16<-28
28	0		28
29	1437		29<-7<-28
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 23
Cel	Dystans	Sciezka	
0	2161		0<-29<-23
1	3822		1<-29<-23
2	4845		2<-1<-29<-23
3	4864		3<-2<-1<-29<-23
4	3840		4<-29<-23
5	4743		5<-27<-15<-14<-29<-23
6	4586		6<-29<-23
7	8122		7<-6<-29<-23
8	2913		8<-29<-23
9	4570		9<-27<-15<-14<-29<-23
10	7757		10<-28<-12<-29<-23
11	7369		11<-29<-23
12	1907		12<-29<-23
13	2569		13<-14<-29<-23
14	2537		14<-29<-23
15	2681		15<-14<-29<-23
16	3532		16<-29<-23
17	1568		17<-29<-23
18	4337		18<-29<-23
19	3889		19<-29<-23
20	8838		20<-29<-23
21	11117		21<-29<-23
22	3741		22<-27<-15<-14<-29<-23
23	0		23
24	2212		24<-23
25	3759		25<-26<-29<-23
26	2151		26<-29<-23
27	3542		27<-15<-14<-29<-23
28	3419		28<-12<-29<-23
29	1396		29<-23
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
0	3819		0<-29<-20
1	4774		1<-29<-20
2	4407		2<-29<-20
3	1776		3<-27<-15<-29<-20
4	1931		4<-28<-29<-20
5	1768		5<-28<-29<-20
6	4087		6<-27<-15<-29<-20
7	1597		7<-28<-29<-20
8	3754		8<-29<-20
9	3752		9<-29<-20
10	5285		10<-9<-29<-20
11	1638		11<-29<-20
12	4444		12<-28<-29<-20
13	6073		13<-27<-15<-29<-20
14	4622		14<-29<-20
15	726		15<-29<-20
16	777		16<-29<-20
17	5137		17<-18<-19<-29<-20
18	3952		18<-19<-29<-20
19	1961		19<-29<-20
20	0		20
21	3192		21<-22<-29<-20
22	1643		22<-29<-20
23	4127		23<-28<-29<-20
24	910		24<-29<-20
25	2411		25<-29<-20
26	2060		26<-28<-29<-20
27	1431		27<-15<-29<-20
28	1436		28<-29<-20
29	33		29<-20
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 4
Cel	Dystans	Sciezka	
0	3237		0<-29<-4
1	2120		1<-29<-4
2	4254		2<-3<-4
3	3709		3<-4
4	0		4
5	5148		5<-4
6	5920		6<-28<-27<-0<-29<-4
7	3923		7<-29<-4
8	3307		8<-29<-4
9	6997		9<-29<-4
10	6757		10<-27<-0<-29<-4
11	5191		11<-28<-27<-0<-29<-4
12	5244		12<-11<-28<-27<-0<-29<-4
13	5473		13<-29<-4
14	6309		14<-27<-0<-29<-4
15	5773		15<-29<-4
16	5425		16<-29<-4
17	4633		17<-29<-4
18	4068		18<-29<-4
19	5153		19<-28<-27<-0<-29<-4
20	4497		20<-27<-0<-29<-4
21	7590		21<-29<-4
22	5341		22<-29<-4
23	7898		23<-24<-25<-29<-4
24	6833		24<-25<-29<-4
25	6405		25<-29<-4
26	5121		26<-27<-0<-29<-4
27	3414		27<-0<-29<-4
28	4896		28<-27<-0<-29<-4
29	1332		29<-4
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 4
Cel	Dystans	Sciezka	
0	5068		0<-28<-27<-29<-4
1	9237		1<-29<-4
2	4007		2<-27<-29<-4
3	4173		3<-4
4	0		4
5	5381		5<-28<-27<-29<-4
6	5402		6<-27<-29<-4
7	8214		7<-28<-27<-29<-4
8	4402		8<-29<-4
9	6116		9<-27<-29<-4
10	6702		10<-9<-27<-29<-4
11	7886		11<-27<-29<-4
12	10616		12<-29<-4
13	9155		13<-29<-4
14	5046		14<-29<-4
15	6453		15<-29<-4
16	7868		16<-27<-29<-4
17	7522		17<-27<-29<-4
18	6144		18<-27<-29<-4
19	7122		19<-27<-29<-4
20	4784		20<-28<-27<-29<-4
21	5592		21<-22<-29<-4
22	4822		22<-29<-4
23	6546		23<-24<-29<-4
24	4747		24<-29<-4
25	5330		25<-24<-29<-4
26	8217		26<-25<-24<-29<-4
27	3985		27<-29<-4
28	4666		28<-27<-29<-4
29	3879		29<-4
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 6
Cel	Dystans	Sciezka	
0	3302		0<-27<-28<-6
1	5760		1<-27<-28<-6
2	2677		2<-27<-28<-6
3	3387		3<-2<-27<-28<-6
4	1450		4<-28<-6
5	4209		5<-29<-16<-27<-28<-6
6	0		6
7	5238		7<-8<-28<-6
8	2557		8<-28<-6
9	2166		9<-27<-28<-6
10	3787		10<-9<-27<-28<-6
11	2375		11<-27<-28<-6
12	4517		12<-11<-27<-28<-6
13	2058		13<-27<-28<-6
14	3843		14<-13<-27<-28<-6
15	2844		15<-27<-28<-6
16	2723		16<-27<-28<-6
17	1286		17<-28<-6
18	2364		18<-17<-28<-6
19	4524		19<-28<-6
20	3971		20<-27<-28<-6
21	5747		21<-22<-28<-6
22	2118		22<-28<-6
23	6311		23<-29<-16<-27<-28<-6
24	3412		24<-28<-6
25	2975		25<-29<-16<-27<-28<-6
26	3119		26<-28<-6
27	1194		27<-28<-6
28	256		28<-6
29	2889		29<-16<-27<-28<-6
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 25
Cel	Dystans	Sciezka	
0	4709		0<-29<-24<-25
1	4179		1<-29<-24<-25
2	4080		2<-3<-29<-24<-25
3	3211		3<-29<-24<-25
4	7607		4<-5<-28<-25
5	5038		5<-28<-25
6	4543		6<-7<-29<-24<-25
7	4304		7<-29<-24<-25
8	7234		8<-9<-29<-24<-25
9	6001		9<-29<-24<-25
10	5541		10<-28<-25
11	4871		11<-29<-24<-25
12	5473		12<-29<-24<-25
13	4504		13<-14<-29<-24<-25
14	3986		14<-29<-24<-25
15	5990		15<-29<-24<-25
16	5838		16<-17<-29<-24<-25
17	3530		17<-29<-24<-25
18	4649		18<-29<-24<-25
19	2456		19<-29<-24<-25
20	6337		20<-28<-25
21	3653		21<-29<-24<-25
22	6619		22<-23<-29<-24<-25
23	3397		23<-29<-24<-25
24	1661		24<-25
25	0		25
26	1819		26<-25
27	5045		27<-29<-24<-25
28	3998		28<-25
29	2444		29<-24<-25
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 24
Cel	Dystans	Sciezka	
0	11045		0<-28<-29<-24
1	9179		1<-27<-6<-28<-29<-24
2	9056		2<-29<-24
3	7833		3<-28<-29<-24
4	8491		4<-28<-29<-24
5	7158		5<-29<-24
6	7362		6<-28<-29<-24
7	6770		7<-29<-24
8	9401		8<-7<-29<-24
9	11250		9<-28<-29<-24
10	11209		10<-27<-6<-28<-29<-24
11	6860		11<-28<-29<-24
12	13144		12<-13<-29<-24
13	8666		13<-29<-24
14	10409		14<-28<-29<-24
15	6585		15<-29<-24
16	9880		16<-29<-24
17	8854		17<-27<-6<-28<-29<-24
18	14900		18<-28<-29<-24
19	8127		19<-28<-29<-24
20	7837		20<-29<-24
21	10449		21<-29<-24
22	7118		22<-28<-29<-24
23	7179		23<-24
24	0		24
25	7079		25<-24
26	7257		26<-25<-24
27	7852		27<-6<-28<-29<-24
28	6853		28<-29<-24
29	6369		29<-24
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	9412		0<-27<-14
1	6844		1<-29<-7<-27<-14
2	6437		2<-29<-7<-27<-14
3	3876		3<-27<-14
4	7766		4<-5<-27<-14
5	4924		5<-27<-14
6	6223		6<-29<-7<-27<-14
7	3913		7<-27<-14
8	6790		8<-29<-7<-27<-14
9	9814		9<-8<-29<-7<-27<-14
10	10498		10<-28<-11<-29<-7<-27<-14
11	6864		11<-29<-7<-27<-14
12	9551		12<-28<-11<-29<-7<-27<-14
13	8808		13<-14
14	0		14
15	7412		15<-27<-14
16	6575		16<-29<-7<-27<-14
17	7717		17<-16<-29<-7<-27<-14
18	4555		18<-27<-14
19	7845		19<-18<-27<-14
20	8555		20<-28<-11<-29<-7<-27<-14
21	7617		21<-28<-11<-29<-7<-27<-14
22	9205		22<-28<-11<-29<-7<-27<-14
23	6967		23<-29<-7<-27<-14
24	6982		24<-23<-29<-7<-27<-14
25	8486		25<-24<-23<-29<-7<-27<-14
26	10262		26<-25<-24<-23<-29<-7<-27<-14
27	3185		27<-14
28	6938		28<-11<-29<-7<-27<-14
29	6146		29<-7<-27<-14
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 11
Cel	Dystans	Sciezka	
0	4218		0<-29<-11
1	3150		1<-29<-11
2	8193		2<-27<-8<-9<-28<-11
3	8269		3<-4<-28<-11
4	1635		4<-28<-11
5	4007		5<-4<-28<-11
6	5692		6<-28<-11
7	6903		7<-29<-11
8	2759		8<-9<-28<-11
9	2361		9<-28<-11
10	1767		10<-28<-11
11	0		11
12	3157		12<-11
13	2014		13<-14<-28<-11
14	1749		14<-28<-11
15	3997		15<-14<-28<-11
16	5751		16<-15<-14<-28<-11
17	6699		17<-16<-15<-14<-28<-11
18	3427		18<-28<-11
19	3812		19<-29<-11
20	4810		20<-29<-11
21	2773		21<-28<-11
22	2271		22<-28<-11
23	2441		23<-28<-11
24	5409		24<-28<-11
25	5647		25<-28<-11
26	7324		26<-28<-11
27	3307		27<-8<-9<-28<-11
28	1552		28<-11
29	2294		29<-11
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 2
Cel	Dystans	Sciezka	
0	3045		0<-29<-3<-2
1	3267		1<-28<-11<-29<-3<-2
2	0		2
3	1463		3<-2
4	2991		4<-27<-2
5	2758		5<-27<-2
6	5371		6<-5<-27<-2
7	5813		7<-28<-11<-29<-3<-2
8	2746		8<-29<-3<-2
9	8281		9<-10<-27<-2
10	5628		10<-27<-2
11	1751		11<-29<-3<-2
12	3469		12<-13<-28<-11<-29<-3<-2
13	2757		13<-28<-11<-29<-3<-2
14	4057		14<-13<-28<-11<-29<-3<-2
15	1822		15<-27<-2
16	2815		16<-15<-27<-2
17	4269		17<-16<-15<-27<-2
18	4240		18<-28<-11<-29<-3<-2
19	2069		19<-27<-2
20	3107		20<-29<-3<-2
21	2775		21<-27<-2
22	3131		22<-23<-28<-11<-29<-3<-2
23	2242		23<-28<-11<-29<-3<-2
24	3389		24<-23<-28<-11<-29<-3<-2
25	3465		25<-24<-23<-28<-11<-29<-3<-2
26	3857		26<-29<-3<-2
27	824		27<-2
28	2157		28<-11<-29<-3<-2
29	1625		29<-3<-2
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 29
Cel	Dystans	Sciezka	
0	2066		0<-28<-29
1	3234		1<-29
2	4154		2<-27<-28<-29
3	4480		3<-29
4	4007		4<-28<-29
5	2681		5<-29
6	2919		6<-5<-29
7	3063		7<-6<-5<-29
8	4196		8<-28<-29
9	1933		9<-29
10	4998		10<-11<-28<-29
11	3372		11<-28<-29
12	2537		12<-13<-29
13	1710		13<-29
14	5158		14<-15<-29
15	3989		15<-29
